timestamp,latitude,longitude,altitude_m,speed_ms,battery_pct,gps_satellites,hdop,signal_dbm,pitch_deg,roll_deg,yaw_deg,wind_speed_ms,temperature_c
2026-05-01 09:00:00,52.40005,-1.49981,118.4,16.22,95.1,16,1.58,-63.9,2.82,1.79,0.69,5.16,9.7
2026-05-01 09:00:01,52.40007,-1.499895,118.6,17.4,95.0,11,1.17,-58.5,3.09,0.29,358.24,2.38,11.8
2026-05-01 09:00:02,52.400232,-1.499848,124.1,18.8,95.3,12,1.17,-58.7,4.16,0.52,2.62,3.52,13.4
2026-05-01 09:00:03,52.400402,-1.499818,120.0,18.14,94.5,16,1.08,-65.3,3.61,1.77,1.9,5.52,11.6
2026-05-01 09:00:04,52.40031,-1.499736,121.6,16.72,94.0,13,1.22,-67.4,2.85,-0.14,2.23,3.47,13.1
2026-05-01 09:00:05,52.400393,-1.499603,118.4,18.01,94.9,14,1.29,-68.3,3.6,1.13,3.03,5.24,11.7
2026-05-01 09:00:06,52.400658,-1.499306,118.4,15.7,94.9,14,1.38,-66.2,0.38,1.03,1.44,3.11,12.2
2026-05-01 09:00:07,52.40066,-1.499171,122.2,19.73,95.5,17,0.98,-67.2,-0.25,-1.93,3.66,2.42,10.9
2026-05-01 09:00:08,52.40062,-1.499269,117.3,17.69,94.1,10,1.16,-62.2,2.24,2.21,1.56,1.61,10.9
2026-05-01 09:00:09,52.400805,-1.49891,119.2,19.68,95.2,16,1.27,-62.9,2.1,-2.13,0.46,5.97,12.7
2026-05-01 09:00:10,52.400787,-1.498937,120.1,17.21,95.8,17,1.29,-62.0,1.18,1.38,0.99,2.29,12.9
2026-05-01 09:00:11,52.400871,-1.498762,120.2,17.21,94.4,17,1.2,-58.7,3.24,-2.28,1.05,5.12,12.0
2026-05-01 09:00:12,52.401025,-1.498505,119.6,16.85,93.9,11,1.28,-55.7,-0.79,0.9,0.16,2.5,10.8
2026-05-01 09:00:13,52.400893,-1.498465,120.8,19.31,94.3,10,1.08,-64.4,1.2,2.79,4.56,5.98,12.0
2026-05-01 09:00:14,52.400995,-1.49847,121.4,16.94,94.5,15,1.43,-59.5,1.27,-0.32,1.99,7.31,13.3
2026-05-01 09:00:15,52.401194,-1.498422,121.5,18.97,94.7,12,1.35,-66.8,-0.45,-0.38,1.69,1.47,13.7
2026-05-01 09:00:16,52.401233,-1.498436,118.0,17.43,94.1,13,1.0,-59.1,4.24,0.92,2.38,2.37,11.7
2026-05-01 09:00:17,52.401449,-1.498182,119.4,15.04,95.1,16,1.04,-59.7,-0.04,-0.49,7.66,5.16,10.3
